index,Fecha,Entidad,conteo,Acumulados
7,2020-02-27,HIDALGO,1,1
71,2020-03-15,HIDALGO,1,2
101,2020-03-17,HIDALGO,2,4
164,2020-03-20,HIDALGO,3,7
189,2020-03-21,HIDALGO,3,10
229,2020-03-23,HIDALGO,1,11
256,2020-03-24,HIDALGO,1,12
283,2020-03-25,HIDALGO,5,17
305,2020-03-26,HIDALGO,4,21
329,2020-03-27,HIDALGO,4,25
381,2020-03-29,HIDALGO,2,27
408,2020-03-30,HIDALGO,7,34
436,2020-03-31,HIDALGO,7,41
463,2020-04-01,HIDALGO,5,46
488,2020-04-02,HIDALGO,1,47
514,2020-04-03,HIDALGO,3,50
539,2020-04-04,HIDALGO,2,52
569,2020-04-05,HIDALGO,1,53
599,2020-04-06,HIDALGO,3,56
628,2020-04-07,HIDALGO,3,59
655,2020-04-08,HIDALGO,1,60
713,2020-04-10,HIDALGO,7,67
743,2020-04-11,HIDALGO,3,70
773,2020-04-12,HIDALGO,5,75
802,2020-04-13,HIDALGO,7,82
831,2020-04-14,HIDALGO,8,90
863,2020-04-15,HIDALGO,4,94
895,2020-04-16,HIDALGO,4,98
926,2020-04-17,HIDALGO,9,107
958,2020-04-18,HIDALGO,6,113
990,2020-04-19,HIDALGO,13,126
1021,2020-04-20,HIDALGO,13,139
1053,2020-04-21,HIDALGO,10,149
1085,2020-04-22,HIDALGO,16,165
1117,2020-04-23,HIDALGO,19,184
1149,2020-04-24,HIDALGO,16,200
1181,2020-04-25,HIDALGO,23,223
1211,2020-04-26,HIDALGO,17,240
1243,2020-04-27,HIDALGO,24,264
1274,2020-04-28,HIDALGO,25,289
1305,2020-04-29,HIDALGO,25,314
1337,2020-04-30,HIDALGO,31,345
1369,2020-05-01,HIDALGO,26,371
1400,2020-05-02,HIDALGO,21,392
1432,2020-05-03,HIDALGO,28,420
1464,2020-05-04,HIDALGO,32,452
1496,2020-05-05,HIDALGO,29,481
1528,2020-05-06,HIDALGO,38,519
1560,2020-05-07,HIDALGO,37,556
1592,2020-05-08,HIDALGO,30,586
1623,2020-05-09,HIDALGO,23,609
1655,2020-05-10,HIDALGO,19,628
1687,2020-05-11,HIDALGO,43,671
1719,2020-05-12,HIDALGO,50,721
1751,2020-05-13,HIDALGO,34,755
1780,2020-05-14,HIDALGO,37,792
1806,2020-05-15,HIDALGO,20,812
